prefecture,lat,lon,coord
玉溪市,24.370447134438425,102.54506789248256,"24.370447,102.54506"
安阳市,36.1102667221811,114.35180650767198,"36.110266,114.35180"
雅安市,29.999716337065788,103.00935646634744,"29.999716,103.00935"
聊城市,36.455828514727976,115.98686913929107,"36.455828,115.98686"
梅州市,24.30457060603053,116.12640309836864,"24.304570,116.12640"
拉萨市,29.662557062056536,91.11189089598402,"29.662557,91.111890"
鹤岗市,47.33866590372683,130.29247205063453,"47.338665,130.29247"
和田地区,37.11677449267836,79.93023863721294,"37.116774,79.930238"
芜湖市,31.36601978754301,118.38410842322828,"31.366019,118.38410"
肇庆市,23.078663282928925,112.4796533699162,"23.078663,112.47965"
黔西南布依族苗族自治州,25.095148055926884,104.9005577982516,"25.095148,104.90055"
文山壮族苗族自治州,23.3740868504098,104.2462943175716,"23.374086,104.24629"
